"Product Positive Top Attribute Indicators","Product Positive Top Attribute Indicators"
Enabled,Enabled
Sign,Sign
"Sign from this field will be used as parser instruction for comparison.<br>If the selected sign is %, the minimum value of the top attribute will be calculated according to the formula: maxValue - x% * (maxValue - minValue).<br>In case the selected sign is % and attribute type is text, the minimum value of the top attribute will be calculated by the cron job at night.","Sign from this field will be used as parser instruction for comparison.<br>If the selected sign is %, the minimum value of the top attribute will be calculated according to the formula: maxValue - x% * (maxValue - minValue).<br>In case the selected sign is % and attribute type is text, the minimum value of the top attribute will be calculated by the cron job at night."
"> greater than","> greater than"
">= greater than or equal",">= greater than or equal"
"< less than","< less than"
"<= less than or equal","<= less than or equal"
"= equal, exact comparison","= equal, exact comparison"
"[] equal to one of many values, separated by a comma","[] equal to one of many values, separated by a comma"
"% in top best x%, use for numeric values","% in top best x%, use for numeric values"
"Minimum value to show a Top Indicator. Value in this field is read only and will be calculated automatically in case of % sign chosen.","Minimum value to show a Top Indicator. Value in this field is read only and will be calculated automatically in case of % sign chosen."
None,None
Position,Position
frontend_label,frontend_label
Popular,Popular
"Free Shipping","Free Shipping"
"Manage Top Attribute","Manage Top Attribute"
"You can get this product on %s (%s) if you buy it now!","You can get this product on %s (%s) if you buy it now!"
"Free shipping for this item","Free shipping for this item"
"<span>Hurry up!</span> Only <span>1 product</span> available!","<span>Hurry up!</span> Only <span>1 product</span> available!"
"<span>Hurry up!</span> Only <span>%1 products</span> available!","<span>Hurry up!</span> Only <span>%1 products</span> available!"
"%1 bought this product within last %2","%1 bought this product within last %2"
"Top Spec","Top Spec"
MageSuite,MageSuite
"Positive indicators","Positive indicators"
"Only X available, buy now","Only X available, buy now"
"Is Enabled","Is Enabled"
Quantity,Quantity
"Popular icon","Popular icon"
"Product Listing Sort by","Product Listing Sort by"
"Product Listing Sort Direction","Product Listing Sort Direction"
"Number of products","Number of products"
"Recently bought","Recently bought"
"Order Period","Order Period"
"Specify the time from which orders should be taken, in days. E.g. set 7 if you want use orders from last 7 days. Can be overwritten in the product.","Specify the time from which orders should be taken, in days. E.g. set 7 if you want use orders from last 7 days. Can be overwritten in the product."
"Minimal Value","Minimal Value"
"Specify the minimal amount of orders to show Recently Bought badge. Can be overwritten in the product.","Specify the minimal amount of orders to show Recently Bought badge. Can be overwritten in the product."
"Fast shipping","Fast shipping"
"Working days","Working days"
Holidays,Holidays
"Provide list of holidays, one date per line. Format: dd.mm.yyyy","Provide list of holidays, one date per line. Format: dd.mm.yyyy"
"Time to delivery today","Time to delivery today"
"Time to which the orders will be ship on the same day. E.g. 15:00","Time to which the orders will be ship on the same day. E.g. 15:00"
"Logistics working hours","Logistics working hours"
"Set how long logistics works per day (in hours). E.g. 10","Set how long logistics works per day (in hours). E.g. 10"
"Order queue length","Order queue length"
"Set how many hours is already reserved. E.g. 5","Set how many hours is already reserved. E.g. 5"
"Expected delivery","Expected delivery"
"Default shipping time (in days)","Default shipping time (in days)"
"Time to ship today","Time to ship today"
"Time to which the orders will be shipped on the same day. E.g. 15:00","Time to which the orders will be shipped on the same day. E.g. 15:00"
"Free shipping","Free shipping"
"Default shipping method","Default shipping method"
"Show in product tiles","Show in product tiles"
"Show text note on product's detailpage","Show text note on product's detailpage"
"Show badge on Product's detailpage","Show badge on Product's detailpage"
"Show in search autosuggest","Show in search autosuggest"
"Top attributes","Top attributes"
"Positive Indicators","Positive Indicators"
"""Only X available"" threshold","""Only X available"" threshold"
"Enable Popular Icon","Enable Popular Icon"
